transaction_id,customer_id,card_id,transaction_time,amount,merchant,merchant_category,location,ingestion_timestamp,source_file,batch_id
T0076,C008,CRD08,2026-04-29T04:51:41.000Z,207.13,Meesho,E-commerce,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0164,C009,CRD09,2026-04-29T16:47:18.000Z,2912.57,Apple Store,Electronics,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0139,C004,CRD04,2026-04-30T02:13:43.000Z,1058.54,Reliance Digital,Electronics,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0148,C006,CRD06,2026-05-01T02:39:25.000Z,2268.84,Tiffany,Luxury,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T1117,C009,CRD09,2026-04-29T14:35:30.000Z,5452.5,BigBasket,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0640,C004,CRD04,2026-04-30T12:45:10.000Z,39704.74,Tiffany,Luxury,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0582,C002,CRD02,2026-04-29T07:21:11.000Z,8970.46,Max Fashion,Shopping,Kolkata,2026-07-13T18:59:19.304Z,transaction.csv,1
T0047,C009,CRD09,2026-04-30T19:09:52.000Z,2816.1,Reliance Digital,Electronics,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0803,C010,CRD10,2026-04-29T18:48:41.000Z,474.57,Max Fashion,Shopping,Ahmedabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0866,C002,CRD02,2026-04-29T01:54:48.000Z,192.32,Dominos,Food,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0805,C008,CRD08,2026-04-29T08:14:59.000Z,118.89,Meesho,E-commerce,Hyderabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0661,C002,CRD02,2026-04-29T02:03:45.000Z,310.02,Zomato,Food,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0693,C004,CRD04,2026-04-30T00:24:17.000Z,1817.62,Croma,Electronics,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0265,C006,CRD06,2026-04-28T16:20:06.000Z,1754.51,Tiffany,Luxury,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T1132,C008,CRD08,2026-04-30T02:31:41.000Z,1795.03,Amazon,E-commerce,Hyderabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0992,C005,CRD05,2026-05-01T03:00:17.000Z,20932.61,Louis Vuitton,Luxury,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0678,C010,CRD10,2026-04-30T00:00:04.000Z,4787.25,Swiggy,Food,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T1005,C003,CRD03,2026-04-29T13:40:09.000Z,226.14,Max Fashion,Shopping,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0709,C006,CRD06,2026-05-01T07:46:08.000Z,4636.22,Swiggy,Food,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0588,C001,CRD01,2026-04-29T23:42:17.000Z,396.13,Flipkart,E-commerce,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0038,C001,CRD01,2026-04-28T01:59:41.000Z,2120.12,Myntra,E-commerce,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0307,C010,CRD10,2026-04-30T03:46:52.000Z,637.09,H&M,Shopping,Ahmedabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0320,C006,CRD06,2026-04-30T01:17:00.000Z,1659.39,Louis Vuitton,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0804,C010,CRD10,2026-04-28T12:09:33.000Z,393.48,Zara,Shopping,Ahmedabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T1091,C002,CRD02,2026-05-01T01:08:36.000Z,173.55,Swiggy,Food,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0238,C008,CRD08,2026-04-30T11:27:36.000Z,1433.6,Meesho,E-commerce,Hyderabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0436,C007,CRD07,2026-04-29T18:34:41.000Z,6578.9,BPCL,Fuel,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0096,C006,CRD06,2026-04-30T03:51:40.000Z,2277.95,Louis Vuitton,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0774,C001,CRD01,2026-04-28T01:01:55.000Z,886.05,Meesho,E-commerce,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T1133,C008,CRD08,2026-04-29T12:49:44.000Z,2779.54,IndianOil,Fuel,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0243,C002,CRD02,2026-04-29T06:54:01.000Z,170.58,Swiggy,Food,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0969,C006,CRD06,2026-04-30T09:55:11.000Z,6132.83,DMart,Groceries,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T1059,C007,CRD07,2026-04-27T20:17:38.000Z,518.6,McDonald's,Food,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0452,C010,CRD10,2026-04-30T01:42:41.000Z,102.13,Zara,Shopping,Ahmedabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0762,C007,CRD07,2026-04-28T00:47:08.000Z,1710.01,Zomato,Food,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0968,C001,CRD01,2026-04-30T17:02:53.000Z,3266.96,PVR Cinemas,Entertainment,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T1061,C008,CRD08,2026-04-28T19:52:55.000Z,846.81,Amazon,E-commerce,Hyderabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0292,C004,CRD04,2026-04-30T03:44:00.000Z,3578.08,PVR Cinemas,Entertainment,Surat,2026-07-13T18:59:19.304Z,transaction.csv,1
T0297,C001,CRD01,2026-04-30T01:40:45.000Z,11912.8,Louis Vuitton,Luxury,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0031,C001,CRD01,2026-04-28T13:21:23.000Z,8318.89,BookMyShow,Entertainment,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0740,C006,CRD06,2026-05-01T02:09:06.000Z,3589.89,Apple Store,Electronics,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0207,C003,CRD03,2026-04-28T11:32:28.000Z,11327.15,Croma,Electronics,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0300,C007,CRD07,2026-04-30T09:52:18.000Z,227.36,McDonald's,Food,Kolkata,2026-07-13T18:59:19.304Z,transaction.csv,1
T0646,C006,CRD06,2026-04-29T19:53:26.000Z,1575.31,Croma,Electronics,Nagpur,2026-07-13T18:59:19.304Z,transaction.csv,1
T1116,C005,CRD05,2026-04-28T09:12:36.000Z,266.02,Blinkit,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0111,C008,CRD08,2026-04-29T01:05:13.000Z,1111.9,Flipkart,E-commerce,Hyderabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0423,C002,CRD02,2026-04-29T21:04:18.000Z,248.74,Swiggy,Food,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0086,C001,CRD01,2026-04-28T05:19:25.000Z,1473.33,Flipkart,E-commerce,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0141,C006,CRD06,2026-04-28T04:14:56.000Z,677.73,Tiffany,Luxury,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0179,C006,CRD06,2026-04-29T06:47:05.000Z,2125.85,Louis Vuitton,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0201,C003,CRD03,2026-04-29T07:01:56.000Z,9128.1,BPCL,Fuel,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0724,C009,CRD09,2026-04-29T15:56:41.000Z,14028.93,Louis Vuitton,Luxury,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0445,C009,CRD09,2026-04-29T08:32:17.000Z,609,Apple Store,Electronics,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0219,C010,CRD10,2026-04-28T18:47:15.000Z,432.34,Max Fashion,Shopping,Ahmedabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0943,C007,CRD07,2026-04-30T07:51:48.000Z,514.3,Zomato,Food,Kolkata,2026-07-13T18:59:19.304Z,transaction.csv,1
T0129,C009,CRD09,2026-04-29T12:08:52.000Z,34328.33,Reliance Digital,Electronics,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0511,C006,CRD06,2026-04-28T20:51:15.000Z,25278.82,Luxury Brand,Luxury,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0730,C008,CRD08,2026-04-28T21:57:18.000Z,1902.89,Amazon,E-commerce,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0849,C003,CRD03,2026-04-28T10:54:16.000Z,3210.52,IndianOil,Fuel,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T1036,C001,CRD01,2026-04-27T22:41:11.000Z,2366.79,Amazon,E-commerce,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0116,C005,CRD05,2026-04-30T15:08:07.000Z,883.63,Blinkit,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0530,C006,CRD06,2026-04-30T10:12:18.000Z,634.16,Tiffany,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T1006,C007,CRD07,2026-05-01T03:19:27.000Z,10487.96,Croma,Electronics,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0683,C001,CRD01,2026-04-29T19:02:49.000Z,865.02,Myntra,E-commerce,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0431,C007,CRD07,2026-04-30T06:03:58.000Z,88.24,Zomato,Food,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0747,C009,CRD09,2026-04-30T06:08:34.000Z,517.01,Apple Store,Electronics,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0023,C005,CRD05,2026-04-28T05:49:46.000Z,965.49,Blinkit,Groceries,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0535,C002,CRD02,2026-04-28T02:33:43.000Z,1715.68,Dominos,Food,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0372,C008,CRD08,2026-04-29T20:10:08.000Z,211.21,Myntra,E-commerce,Hyderabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0018,C005,CRD05,2026-04-30T14:12:37.000Z,867.02,Blinkit,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0881,C006,CRD06,2026-04-29T09:22:41.000Z,1614.76,Tiffany,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0586,C003,CRD03,2026-04-28T22:55:31.000Z,1593.3,Reliance Digital,Electronics,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T1046,C009,CRD09,2026-04-27T23:17:28.000Z,2192.5,Croma,Electronics,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0467,C002,CRD02,2026-04-29T09:19:36.000Z,344.28,McDonald's,Food,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0697,C006,CRD06,2026-04-29T04:01:21.000Z,1956.02,Luxury Brand,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0357,C009,CRD09,2026-04-30T01:53:24.000Z,2190.6,Croma,Electronics,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0024,C009,CRD09,2026-04-28T19:48:25.000Z,3074.93,Netflix,Entertainment,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0014,C004,CRD04,2026-04-30T11:15:32.000Z,1021.47,Reliance Digital,Electronics,Lucknow,2026-07-13T18:59:19.304Z,transaction.csv,1
T0456,C009,CRD09,2026-04-30T20:31:21.000Z,2214.56,Reliance Digital,Electronics,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T1042,C003,CRD03,2026-04-29T22:58:19.000Z,8960.91,Croma,Electronics,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0093,C005,CRD05,2026-05-01T03:02:14.000Z,1488.3,HPCL,Fuel,Nagpur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0492,C005,CRD05,2026-04-28T15:51:21.000Z,833.96,DMart,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T1194,C004,CRD04,2026-04-30T22:49:07.000Z,3706.48,Croma,Electronics,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0278,C008,CRD08,2026-04-30T15:30:17.000Z,1873.31,Flipkart,E-commerce,Hyderabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T1150,C008,CRD08,2026-04-29T06:06:10.000Z,4167.08,BookMyShow,Entertainment,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0579,C005,CRD05,2026-04-28T21:55:03.000Z,898.46,BigBasket,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0414,C003,CRD03,2026-05-01T05:11:15.000Z,297.43,Max Fashion,Shopping,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T1032,C008,CRD08,2026-04-28T23:07:46.000Z,746.24,Meesho,E-commerce,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0927,C007,CRD07,2026-04-28T13:54:33.000Z,237.4,Swiggy,Food,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0302,C005,CRD05,2026-04-30T12:14:03.000Z,275.24,DMart,Groceries,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0746,C004,CRD04,2026-04-29T18:41:32.000Z,75.96,Apple Store,Electronics,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0832,C008,CRD08,2026-04-29T22:54:51.000Z,1282.93,Meesho,E-commerce,Hyderabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0168,C005,CRD05,2026-04-30T03:42:16.000Z,645.79,Blinkit,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0549,C006,CRD06,2026-04-27T20:16:22.000Z,1561.29,Luxury Brand,Luxury,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0712,C005,CRD05,2026-04-28T09:52:03.000Z,547.25,Blinkit,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T1023,C004,CRD04,2026-04-30T20:08:16.000Z,2540.12,Croma,Electronics,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0811,C001,CRD01,2026-04-28T14:14:14.000Z,1216.78,Flipkart,E-commerce,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0797,C001,CRD01,2026-05-01T00:25:10.000Z,1045.48,Flipkart,E-commerce,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0806,C010,CRD10,2026-04-30T12:56:47.000Z,10887.67,Reliance Digital,Electronics,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0199,C010,CRD10,2026-04-30T05:46:29.000Z,504.51,H&M,Shopping,Ahmedabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0340,C003,CRD03,2026-04-29T06:54:07.000Z,9336.83,Croma,Electronics,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0117,C003,CRD03,2026-04-27T20:20:25.000Z,1109.09,H&M,Shopping,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T1050,C003,CRD03,2026-04-29T23:09:17.000Z,357.59,Max Fashion,Shopping,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T1065,C006,CRD06,2026-04-28T11:43:37.000Z,2165.68,Tiffany,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0045,C002,CRD02,2026-04-28T23:36:57.000Z,357.74,Zomato,Food,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0249,C010,CRD10,2026-04-28T23:47:07.000Z,383.69,Max Fashion,Shopping,Ahmedabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0963,C009,CRD09,2026-04-30T23:56:57.000Z,1037.24,Apple Store,Electronics,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0425,C005,CRD05,2026-05-01T04:04:58.000Z,146.15,Blinkit,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T1195,C007,CRD07,2026-04-27T23:56:54.000Z,1285.48,Dominos,Food,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0194,C002,CRD02,2026-04-29T16:35:39.000Z,352.49,Zomato,Food,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0649,C005,CRD05,2026-04-30T04:00:32.000Z,2700.49,HPCL,Fuel,Nagpur,2026-07-13T18:59:19.304Z,transaction.csv,1
T1156,C003,CRD03,2026-04-30T20:01:02.000Z,587.08,Zara,Shopping,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0487,C010,CRD10,2026-04-28T23:40:32.000Z,7290.87,Reliance Digital,Electronics,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0332,C010,CRD10,2026-04-28T11:25:51.000Z,427.55,H&M,Shopping,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0186,C006,CRD06,2026-04-30T02:02:45.000Z,1001.83,Tiffany,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0819,C009,CRD09,2026-04-30T09:53:20.000Z,76.7,Reliance Digital,Electronics,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0033,C007,CRD07,2026-04-29T14:31:43.000Z,551.92,Dominos,Food,Kolkata,2026-07-13T18:59:19.304Z,transaction.csv,1
T0641,C003,CRD03,2026-04-28T09:08:36.000Z,551.14,Zara,Shopping,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0777,C010,CRD10,2026-04-30T06:04:02.000Z,5656.55,Netflix,Entertainment,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0401,C004,CRD04,2026-04-28T16:38:43.000Z,3560.46,Reliance Digital,Electronics,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0525,C008,CRD08,2026-04-29T12:40:47.000Z,1603.97,Myntra,E-commerce,Hyderabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0705,C009,CRD09,2026-04-28T14:39:59.000Z,474.84,Reliance Digital,Electronics,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0584,C007,CRD07,2026-04-29T10:36:44.000Z,286.05,Zomato,Food,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0213,C008,CRD08,2026-05-01T03:25:41.000Z,5922.44,IndianOil,Fuel,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0645,C002,CRD02,2026-04-30T09:34:00.000Z,149.61,McDonald's,Food,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
T0223,C006,CRD06,2026-04-29T09:43:47.000Z,1880.99,Louis Vuitton,Luxury,Chennai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0166,C002,CRD02,2026-05-01T01:34:51.000Z,101.92,Dominos,Food,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0558,C002,CRD02,2026-04-28T21:02:54.000Z,147.69,Swiggy,Food,Jaipur,2026-07-13T18:59:19.304Z,transaction.csv,1
T0341,C005,CRD05,2026-04-28T14:44:35.000Z,421.32,Blinkit,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T1131,C009,CRD09,2026-04-29T21:32:56.000Z,2237.71,Reliance Digital,Electronics,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T0349,C008,CRD08,2026-04-28T03:55:00.000Z,1158.55,Myntra,E-commerce,Bengaluru,2026-07-13T18:59:19.304Z,transaction.csv,1
T1168,C005,CRD05,2026-04-29T10:00:41.000Z,534.39,BigBasket,Groceries,Pune,2026-07-13T18:59:19.304Z,transaction.csv,1
T0478,C005,CRD05,2026-04-28T10:20:14.000Z,4565.03,H&M,Shopping,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T1056,C004,CRD04,2026-04-29T21:23:56.000Z,628.89,Croma,Electronics,Mumbai,2026-07-13T18:59:19.304Z,transaction.csv,1
T0831,C008,CRD08,2026-04-29T13:51:43.000Z,56.45,Amazon,E-commerce,Hyderabad,2026-07-13T18:59:19.304Z,transaction.csv,1
T0291,C006,CRD06,2026-04-30T00:03:29.000Z,1990.17,Louis Vuitton,Luxury,Delhi,2026-07-13T18:59:19.304Z,transaction.csv,1
